Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC,Position,Scoring
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,,
29,Josh Oliver (MIN),20,24,242,12.1,28,5,3,0,0,0,0,11,42.2,3.8,0.3%,TE,standard
30,Chig Okonkwo (TEN),30,42,297,9.9,70,3,2,0,0,0,1,13,39.7,3.1,7.1%,TE,standard
31,Theo Johnson (NYG),29,43,331,11.4,35,4,1,0,0,0,0,12,39.1,3.3,2.8%,TE,standard
32,Jake Ferguson (DAL),46,64,401,8.7,27,5,0,0,0,0,1,10,38.1,3.8,77.4%,TE,standard
33,Brenton Strange (JAC),23,32,256,11.1,30,6,2,0,0,0,0,13,37.6,2.9,9.5%,TE,standard
34,Ja'Tavion Sanders (CAR),29,36,302,10.4,46,5,1,0,0,0,0,12,36.2,3.0,3.6%,TE,standard
35,Noah Fant (SEA),33,40,329,10.0,28,2,0,0,0,0,0,10,32.9,3.3,14.9%,TE,standard
36,Colby Parkinson (LAR),27,41,267,9.9,23,2,1,0,0,0,0,13,32.7,2.5,14.1%,TE,standard
37,AJ Barner (SEA),22,28,193,8.8,20,1,2,0,0,0,0,13,31.3,2.4,1.1%,TE,standard
38,Dawson Knox (BUF),17,25,243,14.3,39,6,1,0,0,0,0,13,30.3,2.3,8.5%,TE,standard
39,Jordan Akins (CLE),24,36,243,10.1,21,2,1,0,0,0,0,13,30.3,2.3,0.7%,TE,standard
40,T.J. Hockenson (MIN),27,36,299,11.1,34,4,0,0,0,0,0,6,29.9,5.0,81.5%,TE,standard
41,Grant Calcaterra (PHI),20,23,232,11.6,34,4,1,0,0,0,0,13,29.2,2.2,2.9%,TE,standard
42,Luke Schoonmaker (DAL),24,33,222,9.3,24,3,1,0,0,0,0,13,28.2,2.2,4.5%,TE,standard
43,Elijah Higgins (ARI),17,19,144,8.5,23,1,2,0,0,0,0,13,26.4,2.0,0.6%,TE,standard
44,Johnny Mundt (MIN),18,25,135,7.5,20,1,2,0,0,0,0,13,25.5,2.0,0.6%,TE,standard
45,Darnell Washington (PIT),18,24,192,10.7,29,3,1,0,0,0,0,13,25.2,1.9,0.3%,TE,standard
