Unnamed: 0_level_0,Unnamed: 1_level_0,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC,Position,Scoring
Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,,
90,Anthony Brown Jr. (ARI),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
91,Stetson Bennett (LAR),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
92,Bailey Zappe (CLE),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
93,Kedon Slovis (HOU),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
94,Jake Fromm (DET),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
95,Ben Chappell (WAS),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
96,Adam Froman (ATL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
97,Erik Ainge (NYJ),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
98,Hunter Cantwell (BAL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
99,Case Keenum (HOU),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
100,Logan Woodside (CIN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
101,Taysom Hill (NO),2,4,50.0,21,5.3,0,1,0,39,278,6,1,8,0.0,0.0,27.5%,QB,half-ppr
102,Mike White (BUF),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
103,Joshua Dobbs (SF),0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,QB,half-ppr
104,Nathan Peterman (ATL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
105,C.J. Beathard (JAC),0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,QB,half-ppr
106,Easton Stick (LAC),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
107,Alex McGough (GB),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
108,Brett Rypien (MIN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
109,John Wolford (JAC),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
110,Will Grier (DAL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
111,Jimmy Garoppolo (LAR),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,QB,half-ppr
112,Brett Smith (TB),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
113,Carson Wentz (KC),0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,QB,half-ppr
114,Jeff Driskel (WAS),0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,QB,half-ppr
115,Trevor Siemian (TEN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,QB,half-ppr
116,Jake Browning (CIN),0,0,0.0,0,0.0,0,0,0,1,-1,0,0,2,-0.1,-0.1,0.6%,QB,half-ppr
117,Jarrett Stidham (DEN),0,0,0.0,0,0.0,0,0,0,2,-2,0,0,2,-0.2,-0.1,0.6%,QB,half-ppr
118,Tyson Bagent (CHI),1,1,100.0,6,6.0,0,0,0,6,-7,0,0,3,-0.5,-0.2,0.1%,QB,half-ppr
119,Mitchell Trubisky (BUF),3,4,75.0,9,2.3,0,0,0,11,-10,0,0,7,-0.6,-0.1,0.1%,QB,half-ppr
120,Clayton Tune (ARI),0,0,0.0,0,0.0,0,0,0,5,-5,0,1,4,-2.5,-0.6,0.0%,QB,half-ppr
